#,RefDes,Value,Name,Quantity,Total/Panel,Stock,Note,,Digikey Number,,Qty,Cost
1,C1,3.3pF,CAP_0402,1,1,Y,,,,,,
2,C2,4.7uF,CAP_0603,1,1,N,,,587-1441-1-ND,,10,1.57
3,C3,15uF,CAP_0805,1,1,N,,,445-14423-1-ND,,10,6.89
4,C4,47nF,CAP_0402,1,1,N,,,1276-1750-1-ND,,10,0.11
5,"C5, C6",1uF,CAP_0402,2,2,Y,,,,,,
6,C7,1n,CAP_0402,1,1,Y,,,,,,
7,C8,PH_RES,CAP,1,1,N,,,,,,
8,"C101, C103",0.1uF,CAP_0402,2,6,Y,,,,,,
9,C102,10nF,CAP_0402,1,3,Y,,,,,,
10,C104,500pF,CAP_0402,1,3,Y,sub 1n or 220pF,,,,,
11,D1,,DIODE_0603,1,1,N,,,SD101AWTPMSCT-ND,,10,3.22
12,"D101, D102",,DIODE_0402,2,6,N,shouldn't need,,641-1287-1-ND,,15,5.57
13,D103,,PD,1,3,Y,,,,,,
14,"J1, J4",,644456-2,2,2,DNP,,,,,,
15,J2,,87758-06,1,1,N,,,952-2121-ND ,,10,2.14
16,"J3, J5, J6, J101, J102",,951106-4620,5,9,DNP,,,,,,
17,L1,4.7uH,SRN5020-4R7M,1,1,N,,,SRN5020-4R7MCT-ND,,10,3.2
18,"Q1, Q2, Q3",,BS870,3,3,N,,,BS870-FDICT-ND,,30,6.95
19,Q5,,AO3416,1,1,N,,,,,,
20,"Q101, Q102",,2SK1828,2,6,N,,,,,,
21,R1,1MEG,RES_0402,1,1,Y,,,,,,
22,R2,115k,RES_0402,1,1,N,Can't sub,,,,,
23,"R3, R4, R5",200,RES_0402,3,3,Y,,,,,,
24,R6,10k,RES_0402,1,1,Y,,,,,,
25,"R7, R104",100k,RES_0402,2,4,Y,,,,,,
26,"R101, RX1, RX2, RX3",50,RES_0402,4,4,Y,sub 51 ohm,,,,,
27,R102,2MEG,RES_0402,1,3,Y,,,,,,
28,"R103, R106, R108",332k,RES_0402,3,9,Y,sub 330,,,,,
29,R109,1X,RES_0402,1,3,Y,,,,,,
30,U1,,LT3467ES6,1,1,N,,,,,,
31,U2,,MCP1801_OT,1,1,N,,,,,,
32,U3,,ATTINY24_QFN,1,1,N,,,,,,
33,U101,,MAX9021AUK-T,1,3,N,,,,,,
34,U102,,AD8061ARTZ,1,3,N,,,,,,
,,,,53,,,,,,,Total = ,29.65
